-------------------------------------------------------------------------------
LEV PRES  HGHT  TEMP  DEWP  RH  DD   WETB DIR SPD THETA THE-V THE-W THE-E   W
     mb     m     C     C    %   C     C  deg knt   K     K     K     K    g/kg
-------------------------------------------------------------------------------
 59   77 18029 -64.3 -94.3   1 30.0 -64.6 332  34 434.8 434.8 309.3 434.8  0.00
 60   73 18359 -60.5 -91.5   1 31.0 -60.9 336  31 449.5 449.5 310.8 449.5  0.00
 61   70 18620 -60.5 -91.5   1 31.0 -60.9 340  22 455.0 455.0 311.3 455.0  0.00
 62   66 18986 -62.7 -92.7   1 30.0 -63.0 310  19 457.9 457.9 311.6 457.9  0.00
 63   63 19274 -61.5 -92.5   1 31.0 -61.9 287  17 466.7 466.7 312.4 466.7  0.00
 64   60 19576 -63.3 -93.3   1 30.0 -63.6 262  14 469.2 469.2 312.5 469.2  0.00
 65   59 19680 -61.3 -92.3   1 31.0 -61.7 254  13 476.0 476.0 313.1 476.0  0.00
 66   57 19894 -62.1 -92.1   1 30.0 -62.5 236  12 478.9 478.9 313.4 478.9  0.00
 67   56 20004 -60.3 -91.3   1 31.0 -60.8 227  11 485.4 485.4 313.9 485.4  0.00
 68   50 20710 -61.5 -92.5   1 31.0 -62.0 170   5 498.6 498.6 314.8 498.6  0.00
 69   48 20963 -62.3 -92.3   1 30.0 -62.7 227   6 502.5 502.5 315.1 502.5  0.00
 70   45 21363 -60.5 -91.5   1 31.0 -61.1 311   7 516.2 516.2 316.1 516.2  0.00
 71   44 21504 -57.7 -89.7   1 32.0 -58.6 316   5 526.4 526.4 316.7 526.4  0.00
 72   41 21948 -59.5 -90.5   1 31.0 -60.2 286  10 532.7 532.7 317.1 532.7  0.00
 73   37 22591 -58.9 -89.9   1 31.0 -59.7 350  10 550.1 550.1 318.1 550.1  0.00
 74   33 23315 -55.7 -87.7   1 32.0 -57.1  60  11 576.9 576.9 319.5 576.9  0.01
 75   30 23920 -57.1 -89.1   1 32.0 -58.4 105   4 589.0 589.0 320.1 589.0  0.00
